autobotdescmgr.1	战斗经验值奖励{0}%
autobotdescmgr.2	移动速度{0}%
autobotdescmgr.3	{0} 增加
autobotdescmgr.4	暴击伤害{0}%
autobotdescmgr.5	额外宠物战斗经验值{0}%
autobotdescmgr.6	音乐增益效果的持续时间{0}
autobotdescmgr.7	攻击速度{0}%
autobotdescmgr.8	채집 속도 {0}%
booleanfunctionhandler.1	精灵或正在支持精灵时
booleanfunctionhandler.2	巨人或正在支持巨人时
booleanfunctionhandler.3	召唤石巨人中
booleanfunctionhandler.4	设置栅栏中
booleanfunctionhandler.5	宠物召唤中
campfirespiritmgr.1	[重置惩罚] 系统篝火重复燃烧惩罚
campfirespiritmgr.2	[重置惩罚]每日重复燃烧惩罚。
campfirespiritmgr.3	[惩罚信息]惩罚总和：{0}%\n -> 相同篝火重复燃烧惩罚: {1}%, 燃烧次数: {2}, propID: {3}\n -> 每日重复燃烧惩罚: {4}%
camputil.1	物品栏中没有帐篷工具。
camputil.2	将帐篷工具放置在个人商店。
chainskilldesc.1	在使用{0}段连续技之后,可以使用该技能。
commercedescmgr.1	个
compareskilllevelhandler.1	{0}等级在{1}段的时候
compareskilllevelhandler.2	{0}等级在{1}段以上的时候
compareskilllevelhandler.3	{0}等级在{1}段以下的时候
compareskilllevelhandler.4	{0}等级{1}以上时的贸易中
compareskilllevelhandler.5	{0}等级{1}段以上时的贸易中
compareskilllevelhandler.6	{0}特性{1}级以上时
continentmgr.1	佑拉大陆
continentmgr.2	伊利亚大陆
continentmgr.3	贝尔法斯特岛屿
continentmgr.4	莫艺海
divineknightdescmgr.1	防御
divineknightdescmgr.2	束缚
divineknightdescmgr.3	惩戒
dungeon.downstairs	<mini>DOWN</mini> 下一层
erinnlandachievementdescmgr.1	普通
erinnlandachievementdescmgr.2	限定
erinnlandachievementdescmgr.3	小游戏
erinnlandachievementdescmgr.4	趣味游戏
etc.combat_power.strong1	看起来稍微强了一点
etc.combat_power.strong2	看起来强了一点
etc.combat_power.strong3	看起来变强了
etc.combat_power.strong4	看起来非常强了
etc.combat_power.weak1	看起来稍微弱了一点
etc.combat_power.weak2	看起来弱了一点
etc.combat_power.weak3	看起来变弱了
etc.combat_power.weak4	看起来非常弱了
etc.daysafter	{0}日后
etc.explo_level	探险等级
etc.exploquest_result_desc_reward_exp	探险经验值 {0}
etc.gamemonth_albaneiler	亚凡亚尔艾勒(Alban Eiler)
etc.gamemonth_albaneiler_desc	提高生产技能成功率。\t增加生活系列技能等级提升奖励。\t比平时做衣服颜色更漂亮。(未体现)
etc.gamemonth_albaneiler_desc_2	提高生产技能成功率。\n增加生活系列技能等级提升奖励。
etc.gamemonth_albanelved	亚凡阿尔卑德(Alban Elved)
etc.gamemonth_albanelved_desc	在商店以便宜的价格买东西。\t银行的保管费降低。\t增加料理相关技能的成功率。(未体现)\t增加料理相关技能等级提升奖励。(未体现)
etc.gamemonth_albanelved_desc_2	在商店以便宜的价格买东西。\n银行的保管费降低。
etc.gamemonth_albanheruin	亚凡阿尔赫林(Alban Heruin)
etc.gamemonth_albanheruin_desc	减少不能行动时的惩罚。\t增加魔法相关技能等级提升奖励。\t提高所有药水的效果。
etc.gamemonth_albanheruin_desc_2	减少不能行动时的惩罚。\n增加魔法相关技能等级提升奖励。\n提高所有药水的效果。
etc.gamemonth_baltane	贝特林(Beltane)
etc.gamemonth_baltane_desc	提高完成兼职时的奖励。\t放入同样的物品，进入的地下城也会有所不同。\t提高地下城掉宝率。
etc.gamemonth_baltane_desc_2	提高完成兼职时的奖励。\n放入同样的物品，进入的地下城也会有所不同。\n提高地下城掉宝率。
etc.gamemonth_friday	周五
etc.gamemonth_imbolic	立春(Imbolic)
etc.gamemonth_imbolic_desc	提高致命一击的概率。\t提高幸运一击的概率。\t增加战斗相关技能等级提升奖励。\t增加音乐相关技能等级提升奖励。
etc.gamemonth_imbolic_desc_2	提高致命一击的概率。\n提高幸运一击的概率。\n增加战斗相关技能等级提升奖励。\n增加音乐相关技能等级提升奖励。
etc.gamemonth_lughnasadh	卢娜萨 (Lughnasadh)
etc.gamemonth_lughnasadh_desc	提高魔法释放的成功率。\t提高从自然界或动物中获得物品的概率。\t减少因读书而消耗的体力。\t增加从具有魔法印章的读书中获得能力的可能性。
etc.gamemonth_lughnasadh_desc_2	提高魔法释放的成功率。\n提高从自然界或动物中获得物品的概率。\n减少因读书而消耗的体力。\n增加从具有魔法印章的读书中获得能力的可能性。
etc.gamemonth_monday	周一
